text,category
MRI scan and diagnostics ₹1048,Medical
TNEB electricity bill ₹357,Utilities
Water bill for apartment ₹4159,Utilities
Supermarket grocery bill ₹2704,Groceries
Nykaa cosmetics order ₹2682,Online Shopping
Pharmacy medicine purchase ₹4448,Medical
Spencer's grocery receipt ₹4802,Groceries
Doctor visit charge ₹4715,Medical
Flipkart electronics purchase ₹1734,Online Shopping
Snapdeal online purchase ₹206,Online Shopping
Monthly groceries ₹2125,Groceries
Apollo Hospital consultation bill ₹4444,Medical
Snapdeal online purchase ₹2933,Online Shopping
Doctor visit charge ₹3199,Medical
Pharmacy medicine purchase ₹118,Medical
Nykaa cosmetics order ₹4258,Online Shopping
Supermarket grocery bill ₹491,Groceries
Water bill for apartment ₹1952,Utilities
MRI scan and diagnostics ₹3039,Medical
Clinic payment for health check ₹1751,Medical
Monthly groceries ₹476,Groceries
Doctor visit charge ₹4435,Medical
Clinic payment for health check ₹3935,Medical
Water bill for apartment ₹1382,Utilities
MRI scan and diagnostics ₹4799,Medical
"Milk, bread, and vegetables ₹931",Groceries
Water bill for apartment ₹812,Utilities
Water bill for apartment ₹3323,Utilities
Supermarket grocery bill ₹4503,Groceries
Spencer's grocery receipt ₹2102,Groceries
Pharmacy medicine purchase ₹1667,Medical
Utility charges for power consumption ₹3853,Utilities
Monthly groceries ₹1135,Groceries
Nykaa cosmetics order ₹1516,Online Shopping
TNEB electricity bill ₹4158,Utilities
Water bill for apartment ₹4710,Utilities
Snapdeal online purchase ₹3576,Online Shopping
Apollo Hospital consultation bill ₹4079,Medical
Utility charges for power consumption ₹1927,Utilities
Doctor visit charge ₹2918,Medical
Pharmacy medicine purchase ₹4270,Medical
Apollo Hospital consultation bill ₹1166,Medical
Apollo Hospital consultation bill ₹1961,Medical
Utility charges for power consumption ₹3627,Utilities
Clinic payment for health check ₹2616,Medical
Pharmacy medicine purchase ₹636,Medical
Snapdeal online purchase ₹4683,Online Shopping
Snapdeal online purchase ₹477,Online Shopping
Gas cylinder booking ₹2989,Utilities
Pharmacy medicine purchase ₹4747,Medical
Water bill for apartment ₹1890,Utilities
Amazon order ID 12345 ₹3604,Online Shopping
Spencer's grocery receipt ₹4842,Groceries
Monthly EB charges ₹678,Utilities
Myntra clothing bill ₹4331,Online Shopping
Myntra clothing bill ₹4758,Online Shopping
Snapdeal online purchase ₹2453,Online Shopping
Clinic payment for health check ₹419,Medical
Clinic payment for health check ₹115,Medical
Monthly groceries ₹4387,Groceries
Water bill for apartment ₹1670,Utilities
Gas cylinder booking ₹4485,Utilities
MRI scan and diagnostics ₹2027,Medical
Monthly EB charges ₹4799,Utilities
Pharmacy medicine purchase ₹2707,Medical
Utility charges for power consumption ₹764,Utilities
"Milk, bread, and vegetables ₹4030",Groceries
Monthly EB charges ₹1258,Utilities
Water bill for apartment ₹3320,Utilities
Gas cylinder booking ₹734,Utilities
Clinic payment for health check ₹2794,Medical
Pharmacy medicine purchase ₹663,Medical
Clinic payment for health check ₹2320,Medical
Monthly EB charges ₹4292,Utilities
Monthly groceries ₹437,Groceries
Monthly EB charges ₹1739,Utilities
Snapdeal online purchase ₹4822,Online Shopping
Nykaa cosmetics order ₹4978,Online Shopping
Utility charges for power consumption ₹132,Utilities
Monthly groceries ₹2528,Groceries
Apollo Hospital consultation bill ₹1810,Medical
Nykaa cosmetics order ₹1601,Online Shopping
TNEB electricity bill ₹4263,Utilities
Amazon order ID 12345 ₹3170,Online Shopping
Amazon order ID 12345 ₹2172,Online Shopping
Amazon order ID 12345 ₹1597,Online Shopping
Apollo Hospital consultation bill ₹2264,Medical
Snapdeal online purchase ₹2702,Online Shopping
Pharmacy medicine purchase ₹3905,Medical
Snapdeal online purchase ₹4593,Online Shopping
Utility charges for power consumption ₹325,Utilities
Nykaa cosmetics order ₹4630,Online Shopping
Grocery purchase from local market ₹2091,Groceries
TNEB electricity bill ₹616,Utilities
"Milk, bread, and vegetables ₹3314",Groceries
"Milk, bread, and vegetables ₹4408",Groceries
Water bill for apartment ₹581,Utilities
Monthly groceries ₹3911,Groceries
Grocery purchase from local market ₹1787,Groceries
Doctor visit charge ₹1020,Medical
Pharmacy medicine purchase ₹3053,Medical
MRI scan and diagnostics ₹1859,Medical
MRI scan and diagnostics ₹4806,Medical
Flipkart electronics purchase ₹2681,Online Shopping
Utility charges for power consumption ₹366,Utilities
Myntra clothing bill ₹4436,Online Shopping
Flipkart electronics purchase ₹3076,Online Shopping
Grocery purchase from local market ₹3948,Groceries
Monthly groceries ₹592,Groceries
Monthly EB charges ₹1596,Utilities
Nykaa cosmetics order ₹2067,Online Shopping
Spencer's grocery receipt ₹1137,Groceries
Utility charges for power consumption ₹4374,Utilities
Amazon order ID 12345 ₹2287,Online Shopping
Water bill for apartment ₹1614,Utilities
Amazon order ID 12345 ₹4974,Online Shopping
Supermarket grocery bill ₹1551,Groceries
Nykaa cosmetics order ₹4991,Online Shopping
"Milk, bread, and vegetables ₹251",Groceries
Snapdeal online purchase ₹2630,Online Shopping
Spencer's grocery receipt ₹2162,Groceries
Monthly EB charges ₹3782,Utilities
Myntra clothing bill ₹4531,Online Shopping
Pharmacy medicine purchase ₹2302,Medical
Flipkart electronics purchase ₹2115,Online Shopping
Flipkart electronics purchase ₹3670,Online Shopping
MRI scan and diagnostics ₹1903,Medical
TNEB electricity bill ₹4007,Utilities
Grocery purchase from local market ₹1803,Groceries
Doctor visit charge ₹2667,Medical
Gas cylinder booking ₹3624,Utilities
Spencer's grocery receipt ₹4869,Groceries
Spencer's grocery receipt ₹3525,Groceries
Flipkart electronics purchase ₹1311,Online Shopping
Supermarket grocery bill ₹1707,Groceries
Doctor visit charge ₹4358,Medical
Grocery purchase from local market ₹3261,Groceries
Monthly groceries ₹2402,Groceries
Nykaa cosmetics order ₹2527,Online Shopping
Nykaa cosmetics order ₹3027,Online Shopping
Monthly groceries ₹851,Groceries
Water bill for apartment ₹1854,Utilities
Grocery purchase from local market ₹3147,Groceries
Monthly groceries ₹358,Groceries
MRI scan and diagnostics ₹3450,Medical
Water bill for apartment ₹347,Utilities
Apollo Hospital consultation bill ₹2267,Medical
Amazon order ID 12345 ₹2380,Online Shopping
Flipkart electronics purchase ₹386,Online Shopping
Pharmacy medicine purchase ₹3204,Medical
Utility charges for power consumption ₹1704,Utilities
TNEB electricity bill ₹1990,Utilities
Water bill for apartment ₹924,Utilities
Supermarket grocery bill ₹265,Groceries
Myntra clothing bill ₹3117,Online Shopping
Myntra clothing bill ₹3771,Online Shopping
Monthly groceries ₹4084,Groceries
Clinic payment for health check ₹438,Medical
Spencer's grocery receipt ₹2299,Groceries
"Milk, bread, and vegetables ₹4034",Groceries
Myntra clothing bill ₹774,Online Shopping
"Milk, bread, and vegetables ₹1131",Groceries
Utility charges for power consumption ₹192,Utilities
Grocery purchase from local market ₹728,Groceries
Monthly EB charges ₹3949,Utilities
Clinic payment for health check ₹3594,Medical
Doctor visit charge ₹3637,Medical
Snapdeal online purchase ₹2933,Online Shopping
Apollo Hospital consultation bill ₹257,Medical
Monthly groceries ₹575,Groceries
Pharmacy medicine purchase ₹2624,Medical
Apollo Hospital consultation bill ₹2096,Medical
Monthly groceries ₹1001,Groceries
Myntra clothing bill ₹1056,Online Shopping
Water bill for apartment ₹939,Utilities
Grocery purchase from local market ₹4327,Groceries
Myntra clothing bill ₹3894,Online Shopping
Gas cylinder booking ₹2832,Utilities
Flipkart electronics purchase ₹3714,Online Shopping
"Milk, bread, and vegetables ₹919",Groceries
TNEB electricity bill ₹1747,Utilities
Amazon order ID 12345 ₹4950,Online Shopping
Water bill for apartment ₹3712,Utilities
Utility charges for power consumption ₹4313,Utilities
Monthly groceries ₹234,Groceries
MRI scan and diagnostics ₹588,Medical
Flipkart electronics purchase ₹1382,Online Shopping
Monthly groceries ₹2618,Groceries
"Milk, bread, and vegetables ₹1790",Groceries
Apollo Hospital consultation bill ₹3823,Medical
Grocery purchase from local market ₹4494,Groceries
"Milk, bread, and vegetables ₹3837",Groceries
MRI scan and diagnostics ₹1765,Medical
Snapdeal online purchase ₹1952,Online Shopping
Nykaa cosmetics order ₹1700,Online Shopping
Monthly EB charges ₹3424,Utilities
Gas cylinder booking ₹1550,Utilities
Snapdeal online purchase ₹4889,Online Shopping
TNEB electricity bill ₹4384,Utilities
Grocery purchase from local market ₹4718,Groceries
